1990,DAR,UPCOM,listed,2026-08-28 12:41:00.214924+00
1432,DBH,UPCOM,listed,2026-08-28 12:41:00.214924+00
1380,DBW,UPCOM,listed,2026-08-28 12:41:00.214924+00
1248,DCD,UPCOM,listed,2026-08-28 12:41:00.214924+00
1842,DCI,UPCOM,listed,2026-08-28 12:41:00.214924+00
1641,DFS,UPCOM,listed,2026-08-28 12:41:00.214924+00
240,DGL,HNX,listed,2026-08-28 12:41:00.214924+00
206,DHI,HNX,listed,2026-08-28 12:41:00.214924+00
257,DHL,HNX,listed,2026-08-28 12:41:00.214924+00
1571,DKH,UPCOM,listed,2026-08-28 12:41:00.214924+00
1760,DKP,UPCOM,listed,2026-08-28 12:41:00.214924+00
819,DKW,UPCOM,listed,2026-08-28 12:41:00.214924+00
1511,DLM,UPCOM,listed,2026-08-28 12:41:00.214924+00
1544,DMS,UPCOM,listed,2026-08-28 12:41:00.214924+00
1657,DNB,UPCOM,listed,2026-08-28 12:41:00.214924+00
1468,DNR,UPCOM,listed,2026-08-28 12:41:00.214924+00
1120,DNS,UPCOM,listed,2026-08-28 12:41:00.214924+00
1092,DNY,UPCOM,listed,2026-08-28 12:41:00.214924+00
1563,DPD,UPCOM,listed,2026-08-28 12:41:00.214924+00
1329,DPS,UPCOM,listed,2026-08-28 12:41:00.214924+00
1878,DSS,UPCOM,listed,2026-08-28 12:41:00.214924+00
1983,DSV,UPCOM,listed,2026-08-28 12:41:00.214924+00
1450,DT4,UPCOM,listed,2026-08-28 12:41:00.214924+00
1681,DTB,UPCOM,listed,2026-08-28 12:41:00.214924+00
1560,DTE,UPCOM,listed,2026-08-28 12:41:00.214924+00
1241,DTN,UPCOM,listed,2026-08-28 12:41:00.214924+00
946,DTV,UPCOM,listed,2026-08-28 12:41:00.214924+00
1134,DVH,UPCOM,listed,2026-08-28 12:41:00.214924+00
805,DVT,UPCOM,listed,2026-08-28 12:41:00.214924+00
1780,DX2,UPCOM,listed,2026-08-28 12:41:00.214924+00
1665,DXD,UPCOM,listed,2026-08-28 12:41:00.214924+00
1061,DZM,UPCOM,listed,2026-08-28 12:41:00.214924+00
1234,EAD,UPCOM,listed,2026-08-28 12:41:00.214924+00
314,EBA,HNX,listed,2026-08-28 12:41:00.214924+00
388,EMC,HOSE,listed,2026-08-28 12:41:00.214924+00
1615,EPC,UPCOM,listed,2026-08-28 12:41:00.214924+00
1827,EPH,UPCOM,listed,2026-08-28 12:41:00.214924+00
1734,ESL,UPCOM,listed,2026-08-28 12:41:00.214924+00
876,FBA,UPCOM,listed,2026-08-28 12:41:00.214924+00
987,FDG,UPCOM,listed,2026-08-28 12:41:00.214924+00
1060,FDT,UPCOM,listed,2026-08-28 12:41:00.214924+00
1626,FHH,UPCOM,listed,2026-08-28 12:41:00.214924+00
1078,FLC,UPCOM,listed,2026-08-28 12:41:00.214924+00
1887,FSC,UPCOM,listed,2026-08-28 12:41:00.214924+00
1601,GAB,UPCOM,listed,2026-08-28 12:41:00.214924+00
1730,GCD,UPCOM,listed,2026-08-28 12:41:00.214924+00
1546,GEM,UPCOM,listed,2026-08-28 12:41:00.214924+00
1054,GFC,UPCOM,listed,2026-08-28 12:41:00.214924+00
1956,GGS,UPCOM,listed,2026-08-28 12:41:00.214924+00
15,GHA,HNX,listed,2026-08-28 12:41:00.214924+00
1877,GID,UPCOM,listed,2026-08-28 12:41:00.214924+00
1608,GQN,UPCOM,listed,2026-08-28 12:41:00.214924+00
1181,GTC,UPCOM,listed,2026-08-28 12:41:00.214924+00
938,GTH,UPCOM,listed,2026-08-28 12:41:00.214924+00
1686,GTK,UPCOM,listed,2026-08-28 12:41:00.214924+00
653,GTN,HOSE,listed,2026-08-28 12:41:00.214924+00
1779,HAB,UPCOM,listed,2026-08-28 12:41:00.214924+00
1017,HAI,UPCOM,listed,2026-08-28 12:41:00.214924+00
1371,HAL,UPCOM,listed,2026-08-28 12:41:00.214924+00
1577,HAW,UPCOM,listed,2026-08-28 12:41:00.214924+00
63,HBB,HNX,listed,2026-08-28 12:41:00.214924+00
192,HBE,HNX,listed,2026-08-28 12:41:00.214924+00
1443,HBI,UPCOM,listed,2026-08-28 12:41:00.214924+00
1690,HBW,UPCOM,listed,2026-08-28 12:41:00.214924+00
1150,HCB,UPCOM,listed,2026-08-28 12:41:00.214924+00
1392,HCS,UPCOM,listed,2026-08-28 12:41:00.214924+00
904,HDO,UPCOM,listed,2026-08-28 12:41:00.214924+00
1566,HDS,UPCOM,listed,2026-08-28 12:41:00.214924+00
1975,HEM,UPCOM,listed,2026-08-28 12:41:00.214924+00
1784,HFS,UPCOM,listed,2026-08-28 12:41:00.214924+00
1781,HFT,UPCOM,listed,2026-08-28 12:41:00.214924+00
1672,HGA,UPCOM,listed,2026-08-28 12:41:00.214924+00
1573,HGC,UPCOM,listed,2026-08-28 12:41:00.214924+00
1578,HGR,UPCOM,listed,2026-08-28 12:41:00.214924+00
1374,HGW,UPCOM,listed,2026-08-28 12:41:00.214924+00
1252,HHA,UPCOM,listed,2026-08-28 12:41:00.214924+00
1915,HHR,UPCOM,listed,2026-08-28 12:41:00.214924+00
871,HIG,UPCOM,listed,2026-08-28 12:41:00.214924+00
1714,HIZ,UPCOM,listed,2026-08-28 12:41:00.214924+00
1643,HKC,UPCOM,listed,2026-08-28 12:41:00.214924+00
1360,HKP,UPCOM,listed,2026-08-28 12:41:00.214924+00
1769,HLE,UPCOM,listed,2026-08-28 12:41:00.214924+00
977,HLG,UPCOM,listed,2026-08-28 12:41:00.214924+00
1449,HLR,UPCOM,listed,2026-08-28 12:41:00.214924+00
1631,HNE,UPCOM,listed,2026-08-28 12:41:00.214924+00
1845,HNS,UPCOM,listed,2026-08-28 12:41:00.214924+00
1453,HNT,UPCOM,listed,2026-08-28 12:41:00.214924+00
189,HPC,HNX,listed,2026-08-28 12:41:00.214924+00
1308,HPM,UPCOM,listed,2026-08-28 12:41:00.214924+00
130,HPR,HNX,listed,2026-08-28 12:41:00.214924+00
129,HPS,HNX,listed,2026-08-28 12:41:00.214924+00
1729,HPU,UPCOM,listed,2026-08-28 12:41:00.214924+00
1473,HRG,UPCOM,listed,2026-08-28 12:41:00.214924+00
1440,HRT,UPCOM,listed,2026-08-28 12:41:00.214924+00
89,HSC,HNX,listed,2026-08-28 12:41:00.214924+00
968,HSI,UPCOM,listed,2026-08-28 12:41:00.214924+00
159,HST,HNX,listed,2026-08-28 12:41:00.214924+00
416,HT2,HOSE,listed,2026-08-28 12:41:00.214924+00
1763,HT9,UPCOM,listed,2026-08-28 12:41:00.214924+00
12,HTB,HNX,listed,2026-08-28 12:41:00.214924+00
1531,HTH,UPCOM,listed,2026-08-28 12:41:00.214924+00
1620,HTK,UPCOM,listed,2026-08-28 12:41:00.214924+00
1467,HTR,UPCOM,listed,2026-08-28 12:41:00.214924+00
1984,HTU,UPCOM,listed,2026-08-28 12:41:00.214924+00
1940,HTW,UPCOM,listed,2026-08-28 12:41:00.214924+00
1554,HUX,UPCOM,listed,2026-08-28 12:41:00.214924+00
1600,HVB,UPCOM,listed,2026-08-28 12:41:00.214924+00
1000,HVG,UPCOM,listed,2026-08-28 12:41:00.214924+00
1496,I10,UPCOM,listed,2026-08-28 12:41:00.214924+00
1455,IBC,UPCOM,listed,2026-08-28 12:41:00.214924+00
1655,IBN,UPCOM,listed,2026-08-28 12:41:00.214924+00
1593,ICS,UPCOM,listed,2026-08-28 12:41:00.214924+00
1259,IDN,UPCOM,listed,2026-08-28 12:41:00.214924+00
1661,IED,UPCOM,listed,2026-08-28 12:41:00.214924+00
1253,IFC,UPCOM,listed,2026-08-28 12:41:00.214924+00
1140,IHK,UPCOM,listed,2026-08-28 12:41:00.214924+00
1795,IKH,UPCOM,listed,2026-08-28 12:41:00.214924+00
1516,IMI,UPCOM,listed,2026-08-28 12:41:00.214924+00
1654,IN7,UPCOM,listed,2026-08-28 12:41:00.214924+00
1235,ING,UPCOM,listed,2026-08-28 12:41:00.214924+00
1586,IPH,UPCOM,listed,2026-08-28 12:41:00.214924+00
931,KAC,UPCOM,listed,2026-08-28 12:41:00.214924+00
